,Column Reference Code,Logic Consumption Dictonary
0,9001,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
1,9002,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
2,9003,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
3,9004,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
4,9005,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
5,9006,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
6,9007,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
7,9008,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
8,9009,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
9,9010,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
10,9011,"{""Finetuning Logic"": ""Consumed"", ""Qualifying criteria"": ""Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Consumed"", ""Ethnicity Logic"": ""Consumed""}"
